id,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31
1,0,.0106296555122597,.0057427481337232,.0056672086299189,.0068925047522015,.006593946044646,.0057125259918036,.0054497589024678,.8045563076314921,.0137615720209453,.0113514141523324,.0057818968344537,.0091150348662755,.0056242009284398,.0072783373350192,.0057797873763812,.0067081667384251,.0059251674822584,.009321478371014,.0052793708179283,.0058989585536873,.00680355556747,.0056830830490978,.0050865957431347,.0053063287940213,.0053232482719632,.0063778003749514,.0050184073676899,.0055056689685875,.0059016499752225,.0059236208121884
2,.0151534079287996,0,.0178072139211942,.0173054797810279,.0279477449177545,.0247591545122053,.0176046281265416,.0159428702894554,.015356292547536,.0665837400188091,.2383242813715527,.0180733916759996,.091193687330303,.017026587598592,.0329099204694952,.018058939625204,.0259216825303731,.0190852818271694,.1079763281301151,.0149525612527177,.0188955932079154,.0269457291675105,.0174096460483628,.013905543774568,.0151050215544066,.0152015005480112,.0227301748646296,.0135524168663064,.0162821754293969,.0189149756333781,.0190740290506692
3,.0010015373705446,.0021784732975095,0,.0751384499987737,.006003967252759,.0077585756477109,.1893084969359632,.0186291392959808,.0010087375198125,.0017187967774652,.0020270177336945,.1479176995476801,.0027070794319685,.0475156491105729,.0047470552868567,.1562848653441426,.0069591363204067,.0325309607115181,.0026086931169089,.0114107596269519,.0378209561191222,.0064234232685673,.0953961615795443,.0077640740149297,.0121774772658769,.0127090198663969,.0100583936292134,.006938892238362,.0232586158245124,.0371973222103157,.0328005736559388
4,.0009430007330822,.0020199254879971,.0716898500423291,0,.0053045438697627,.0067096632284303,.1188709133538699,.0236336310943626,.0009496902496862,.001603235718142,.0018831817085009,.0475404857509703,.0024930155906147,.1233180434231766,.0042600429256923,.0484136118428922,.0060769075146065,.0216601881607467,.0024054493948335,.0128364238803004,.0240031243596262,.0056459499081465,.3375966969903501,.0082613796969537,.0138657565344197,.0145942022292218,.0084637493625193,.0072940083537728,.0321397843148595,.0237383907084405,.021785153571694
5,.003774436372323,.0107357077534952,.0188523702187544,.0174574276318283,0,.0833619290216983,.0182728423637327,.014257374731428,.0038070507651778,.0075617512456969,.0096088945993404,.0196499604984256,.0154797088761144,.0167374631786538,.0712008845046466,.0196055531905613,.1373539185457306,.023119307352292,.0144848534932126,.0123527555987765,.0224098725929012,.2886995274043982,.0177361091771389,.0106312288646878,.0126268465363939,.0128036826035942,.0467697629447935,.0101070837920617,.0149843243551544,.0224809960457711,.023076375741217
6,.0035789013626566,.0094264686055042,.0241456526824575,.0218857902635199,.0826222582879752,0,.0231950328227107,.0170462932532704,.0036084755426185,.0068713558744435,.0085393303030713,.0254822468882967,.0129395721498185,.0207564441730768,.0380607581840666,.0254069504182529,.2101884193376415,.0317079391727439,.0122310747049584,.0143729678075775,.0303772241669031,.11616482859786,.0223295860825544,.012077102726642,.0147488140147332,.0149928495224051,.1056024785734399,.0113995201953971,.01810590943014,.0305092345184508,.0316265203368136
7,.0009850827287314,.0021295127602252,.1871833577190139,.1231905192463514,.0057540759350643,.0073694515365517,0,.0204305013391968,.0009921270480605,.0016842103857955,.0019830295813299,.0821043322141493,.0026389537102812,.0627262861358715,.004578945243738,.0846484019912109,.0066370316983266,.0274489241922126,.0025443470527417,.0120063601336723,.0311692449539065,.0061428812132659,.1901408773426291,.0080052332112985,.012868559597406,.0134706911446444,.0094437139860001,.0071220483818052,.0262187830354826,.0307396944401962,.0276428220408406
8,.0020469507427064,.0042005435406572,.0401213468055838,.0533479487422914,.0097790041983006,.0117965691589215,.0445004713155327,0,.0020609105682775,.003389063212509,.0039371641761721,.0356335632873076,.0050904836562251,.0659959215874084,.008147530206182,.0358482403729607,.0109116349207821,.0255117944733167,.0049281997907337,.0634235195846495,.0268808703655102,.0102870272042326,.0498576389809233,.028670339120786,.0757288255834891,.0861305248456121,.0140673058278334,.0238145268076654,.2015707361214543,.0267329618315644,.0255883829704108
9,.8031031203863761,.0107525166055843,.0057735862028755,.0056971023140215,.0069395051571728,.0066364266023571,.0057429844917726,.0054770147821795,0,.0139757650547713,.0114930659171176,.0058132300268214,.0092028326844151,.0056535633972072,.007331515033339,.0058110937908629,.0067523496810697,.0059583457926827,.0094137078645526,.0053046434624498,.0059317954401427,.0068491856553555,.0057131739926961,.0051097131670023,.0053319103223163,.0053490246026997,.0064171502186022,.0050407849521979,.0055335916330484,.0059345218425674,.0059567789257423
10,.0308957275743316,.1048594175499248,.0221262350143693,.0216314150327109,.0310011448130346,.0284229061768665,.0219271508903112,.0202572247470447,.0314333813560369,0,.145513372298603,.0223863635154697,.060607636328907,.021353798141075,.0346847736339068,.0223722819106435,.029383494038999,.0233605041011343,.0648621130649645,.019229678552847,.0231796484980402,.030209873856276,.0217346320925998,.0181157932111724,.0193894941209817,.0194903197973351,.0266864676150812,.0177335499259338,.0206036392977448,.0231981651742661,.0233497976693884
11,.0173601301265588,.2556702374560092,.0177751455612987,.0173082199230498,.026834987809492,.0240614879157291,.0175868348060583,.0160308455339514,.0176085678611529,.0991232500330427,0,.0180221149689658,.0707564197062748,.0170478828286523,.0310214829987597,.0180087189958428,.0250804312389025,.0189563218865346,.0797178309688235,.0150938587454246,.0187817555320646,.0259705986390355,.0174053102148673,.0140952152535456,.0152385868682343,.0153300829026957,.0222613675661554,.0137565311223798,.0163502045888365,.0187996045703386,.0189459733773233
12,.0002911191202093,.0006383353971443,.0427044513119604,.0143853746518679,.0018067041369275,.0023639254211827,.0239729759272553,.0047767173341292,.0002932263743937,.0005020576208686,.0005933393349097,0,.0007961149240186,.0103827199294779,.0014159354553399,.7976487600743963,.0021083224130835,.0120396576057919,.0007666614130485,.0030584004354649,.0146700359053663,.0019386562724809,.0167431510833303,.0021297324225284,.0032482707808791,.0033788383532144,.0031157721138486,.0019135225845696,.0058024757975532,.0143468733892191,.0121678724155404
13,.0091930666064651,.064517231682449,.0156550940902689,.015110687962811,.0285095148412715,.024044605119739,.0154343849997933,.0136688197762648,.009298410804101,.0272269528870704,.0466621681888118,.0159469431518838,0,.014811261338701,.0364296454731918,.0159310427436863,.0256219370392736,.017076088990968,.4150916331516063,.0126532477708408,.0168620124717076,.0270586630496155,.0152231044558762,.0116078242806709,.0128078757230982,.0129060469806805,.0214199930022458,.0112615933973681,.0140229566566787,.0168838353168717,.0170633580459893
14,.0014439398514123,.0030663714841307,.0699483624863562,.1902707679228223,.0078469859518637,.0098183134029857,.0933884858686988,.0451102537706315,.0014541046799188,.002441928975984,.0028619083354642,.052941838929454,.003770320308788,0,.006353455064682,.0536400530757861,.0089358808131247,.0284270306629613,.0036404230688769,.0221068105191901,.0310009279263004,.0083299159472902,.139363698212237,.0136619558410082,.0241040933782987,.0255403969808361,.0122202320720563,.0119616299319158,.0670692937358832,.0307142074810847,.0285664133199585
15,.0070483413695613,.0223558124680769,.0263591650760059,.024792818171348,.1259114148163899,.0679090797163604,.0257143578932282,.021006351405339,.0071126855607359,.0149610899626983,.0196432931568636,.0272331460137688,.0349790187222713,.0239649450413968,0,.0271848891239111,.0829250919265119,.0308627944981,.0321568410943784,.0186150230247038,.0301424628057105,.1010017347840589,.0251096704237809,.016357796621336,.0189658492759207,.0191909779072047,.0499179003449138,.0156515683097916,.0218911980905483,.0302151707670015,.0308195116280836
16,.0002901076692785,.0006358409135049,.0449797338383212,.0146040059834114,.0017970138083609,.0023496087346677,.0246389159483068,.0047905468112415,.0002922068304358,.0005001810700723,.0005910540018514,.7951675534437602,.0007928471660528,.0104869276501435,.0014090297546064,0,.0020962234805948,.0118237396925189,.0007635427168951,.0030606220705032,.0143602937880226,.0019279400021076,.0170489369401152,.0021287914695271,.0032514072744989,.0033826568945041,.003093994288292,.0019121574618606,.0058268133291434,.0140495437934937,.0119477631739075
17,.003211515076373,.0087051884891392,.0191035496119941,.0174842059514308,.1200804026917783,.185400354651376,.0184261877681293,.0139080371067131,.0032385169298725,.0062658381660535,.0078512373859682,.0200466934899519,.0121623081696851,.0166630772925215,.0409956076689517,.0199938463265837,0,.0243024045673618,.011455223307195,.0118664805325345,.023411273745587,.2290595397453503,.017804699345509,.0100739831706014,.0121564371903476,.0123441866757409,.0619990541497271,.009537861543981,.0147040097218017,.0235001164707846,.0242481630569561
18,.0002156661527142,.0004872914745212,.0067893916185553,.0047380621783615,.0015366718813173,.0021264003582544,.0057937822966586,.002472249314964,.0002172662131312,.0003787330373777,.0004511619111606,.0087035234696334,.0006162652752636,.0040301812973534,.0011600103327733,.0085741064738481,.0018476703532571,0,.0005919150053492,.0017630651502907,.0485409272967999,.0016704423462895,.0050628974393474,.0013081844798165,.0018492630434974,.001907306587198,.0030388327756327,.001193590887329,.002830490230306,.054120793623145,.8259838574958539
19,.0093953617950037,.0763424586358676,.0150766313290933,.0145707567361728,.0266604689812867,.0227137578342397,.0148716976055246,.0132247330934472,.0095054911034011,.0291198695790531,.0525389245451011,.0153472979955337,.4148304421163486,.0142919765560514,.0334693549411738,.0153325610793231,.024117159508557,.0163910472318996,0,.0122712219388015,.0161935803979988,.0253867457567888,.01467532157259,.0112849425854352,.012416692794896,.0125089957808073,.0203560790477523,.0109572332916968,.0135561676247534,.0162137190196221,.0163793095217794
20,.0016915857299175,.003360750802201,.0209642346795761,.0247179850712178,.0072277090168995,.0084850412561171,.0223089276830409,.0541043372593886,.0017027589640336,.0027444384181294,.0031623440639285,.0194628215363695,.0040198679324214,.0275898703237503,.0061591484740636,.0195377344787933,.0079419593560162,.0155202547705277,.0039009550307748,0,.016105215669849,.007550789045812,.023812561140247,.0446344673042222,.3329667640945188,.2052245512351456,.0098218370341098,.0325297135761399,.0411550471525455,.0160428752337844,.0155534536664591
21,.0003305936525256,.0007428285243507,.0121535815696447,.0080843314643816,.0022934195958759,.0031366272570592,.0101298014343391,.0040108127779249,.000333035448443,.0005786229194458,.0006882597020841,.0163286376241772,.0009369717557837,.0067671465925506,.0017443882394466,.0160337513043999,.0027405522900455,.074738757613669,.000900395540739,.0028169157990158,0,.0024864246188537,.0087031235265917,.0020700064599216,.0029600920117576,.0030568015639025,.0044032501494296,.0018841080994817,.0046279873225225,.7249135803418336,.0794051947998035
22,.0031800919059591,.0088349185712474,.0172156286589279,.0158598080373453,.2464193307722106,.1000400848320144,.0166506555590104,.0128015784225159,.0032072130057433,.0062895890071119,.0079374808150756,.0179971674788632,.0125403020549471,.0151654771670099,.048750359070049,.0179535320727694,.2236382075583507,.0214513123174275,.0117728620899385,.0110149930391959,.0207376655730104,0,.0161295579400605,.0094212116802968,.0112705794121993,.0114357463443331,.0476376840649356,.0089398721365328,.0134900332116612,.0208090397479841,.0214080174532731
23,.0008855052133498,.0019028560568588,.0852296354441678,.3161276472765189,.0050465018739538,.0064103752459144,.1718059094058371,.020682771111926,.0008918045854066,.001508443449128,.0017733149718526,.0518136186314382,.0023518427192227,.0845801609623859,.0040401117938109,.0529245381010026,.0057947625942557,.0216732923592462,.0022686423445909,.0115798086397813,.0241970878657955,.0053768243535883,0,.0075512202920656,.0124717418517259,.013099801343036,.0081293142859002,.0066857055419709,.0274797725222148,.0239100302735005,.0218069588895541
24,.0032783287800913,.0062866912932094,.0286924451600537,.0319988990550091,.0125122011034955,.0143411409218267,.0299195292219467,.049195798074139,.0032991870227107,.0052005857043047,.0059401031729335,.0272615116423136,.0074177814831539,.0342965065678338,.0108866769900964,.0273344950948944,.0135618953126941,.0231639657976634,.0072159900289838,.0897808667003005,.0238055279585762,.0129905730510739,.0312345535826987,0,.0791682923068457,.0737425376349524,.0161930386614718,.2412726391618256,.0430697833627357,.0237377443145563,.0232007108376094
25,.0012556134161593,.002507217530838,.0165223466202288,.0197179849913248,.0054560916732941,.006430052964164,.0176582318012746,.0477081867042193,.001263949603586,.0020436093904336,.0023577810828517,.0152655910804845,.003004947047563,.0222159207312781,.0046342486937501,.0153280114517304,.0060084435495734,.0120220663722697,.0029150030594503,.2458956416092771,.012498210527854,.0057056391186645,.0189400789120349,.0290661683888158,0,.3950442189027669,.0074738815838897,.0218850666965348,.0346793707637433,.0124473832283514,.0120490425035939
26,.0013680680494771,.0027404779589549,.0187281831392742,.022540757610543,.006008842818941,.0070992230391737,.0200759609216784,.0589329213053902,.0013771799922265,.0022311027109744,.0025761578772676,.0172463820264408,.0032886840174832,.0255664451815081,.0050929959915956,.0173197484418766,.0066265479215178,.0134669772647794,.0031895154649314,.1646070560884948,.0140177741803076,.0062876991979639,.0216067062886687,.0294051753904115,.4290569075490181,0,.0082739059494456,.022521658618492,.0412898862152539,.0139589125080448,.0134981462798648
27,.0040079835054526,.0100199754191888,.0362440100225709,.0319650191118276,.053671673642396,.1222713692119213,.034415438997188,.023536172075725,.0040400090717532,.0074699159607641,.0091475298892362,.0388884199670384,.0133466495148488,.0299120503032259,.0323934022471236,.038737105255142,.0813830480704335,.0524663008793745,.0126917181863743,.0192635303940376,.0493752373594094,.064047459601235,.0327870088642379,.0157891253911502,.0198490362782024,.0202318038236339,0,.0147960846097487,.0253019559341177,.0496769839300976,.0522739824825448
28,.0036467422778779,.0069081981685925,.0289122515154541,.0318538981217112,.0134118902721151,.0152623494242063,.0300123196872682,.0460734797294811,.0036696315471788,.0057399017963315,.0065364973243667,.0276167367729409,.0081140360022127,.0338564366376403,.0117447092856767,.0276831473666126,.0144771827727311,.0238294102419154,.0078997137722435,.0737747172822251,.0244301318256851,.0138984616127894,.031180227896913,.2720332259856215,.0672086610574263,.0636808061414246,.0171092496010801,0,.0412052904615553,.0243668005713674,.0238638948473559
29,.0019547020499478,.0040550085842268,.047348578871938,.0685757555456327,.0097147718047009,.0118436748639385,.0539806968743585,.1905319674559088,.0019681704609577,.0032582472043642,.003795689311787,.0409150813204541,.0049363732698499,.0927482941970547,.0080257430991518,.0412148980574029,.0109043589134988,.0276090061023221,.0047750584368231,.0456017732808662,.0293186161401216,.0102465993763384,.06261472626152,.0237256367681751,.0520331227457916,.0570404811632823,.0142945195828359,.0201318781349202,0,.0291326278567606,.0277039422650699
30,.0003252046303818,.0007311356056736,.0117529681631298,.0078612519707329,.0022621624403712,.0030974923604462,.0098228678887118,.0039219337057119,.000327607726489,.0005693856652152,.000677374712694,.0157014639522964,.0009224701195482,.0065922597512444,.00171930757262,.0154240401509047,.0027048748200174,.0819343605627235,.0008864152166196,.0027590122782807,.7127715265161361,.0024531922106029,.0084558306930534,.0020295391685905,.0028986751162827,.0029929804441437,.0043559560482683,.0018477474922478,.0045216033393855,0,.0876793596774769
31,.0002140713937895,.0004835291951794,.0067968147959133,.0047313947393794,.0015228739357417,.0021058064831827,.0057930763004749,.002461977762163,.0002156592047876,.0003758582855131,.0004476981522306,.0087334460539659,.0006114118021649,.004021044015616,.0011501179704534,.0086022219557328,.0018303920209686,.8200901316677734,.0005872706058201,.0017542293820641,.0512036754233731,.0016551756983239,.0050577734394418,.0013009104274592,.0018401877351574,.0018980801097924,.0030060899422051,.0011867891118212,.0028199570067568,.057502335382755,0
