province_id,year,dea_eff
1,2008,0.9604262016265421
2,2008,1.0000000000000002
3,2008,0.8576831557427295
4,2008,0.7239014334637572
5,2008,0.8755758889296483
6,2008,0.698718160076543
7,2008,0.6407101679295466
8,2008,0.6076923994196739
9,2008,1.0000000000000004
10,2008,0.8864627847801487
11,2008,0.7452443984997065
12,2008,0.76696824135707
13,2008,0.8453313575877525
14,2008,0.6358387961827109
15,2008,0.9885090787709238
16,2008,0.9128508680481155
17,2008,0.7670748957546025
18,2008,0.799966179023415
19,2008,1.0000000000000002
20,2008,0.6494073911988167
21,2008,0.8395123855348939
22,2008,0.7265397571140937
23,2008,0.6769117199387037
24,2008,0.6547800500318899
25,2008,0.5857739500921952
26,2008,1.0000000000000002
27,2008,0.6851455650937291
28,2008,0.6280924817731973
29,2008,0.720840956802833
30,2008,0.7677254611644726
31,2008,0.659438978779563
1,2009,0.9803279712260705
2,2009,1.0
3,2009,0.7635421500736417
4,2009,0.6816918418764635
5,2009,0.8758560446110248
6,2009,0.6602806094644363
7,2009,0.6300989950387006
8,2009,0.5624332771791085
9,2009,0.9999999999999998
10,2009,0.9089020943537385
11,2009,0.728519434151921
12,2009,0.8070052202278556
13,2009,0.8267538166341122
14,2009,0.6263780649315207
15,2009,0.9755283044512991
16,2009,0.87856681787929
17,2009,0.7667018275717674
18,2009,0.8205688113620342
19,2009,1.0000000000000002
20,2009,0.6326668263501003
21,2009,0.8137522680745312
22,2009,0.7048102489672441
23,2009,0.6900530428247705
24,2009,0.6561151683401644
25,2009,0.5706161313961362
26,2009,1.0000000000000004
27,2009,0.7155629085458319
28,2009,0.5991795513431992
29,2009,0.6943859711877279
30,2009,0.7290026065089443
31,2009,0.6383002711929018
1,2010,0.9770855654727734
2,2010,1.0
3,2010,0.9449460535920613
4,2010,0.712730315929008
5,2010,0.853312113133038
6,2010,0.6324977483277364
7,2010,0.5935460421714035
8,2010,0.5428199154682966
9,2010,1.0
10,2010,0.9007693802080444
11,2010,0.7178569409093946
12,2010,0.7798382771225892
13,2010,0.8425734273695108
14,2010,0.6185986712563811
15,2010,0.9084159302520083
16,2010,0.8668942462712943
17,2010,0.7966195255527927
18,2010,0.8143586179408833
19,2010,1.0
20,2010,0.6435737676852831
21,2010,0.8177483491663591
22,2010,0.728143892025668
23,2010,0.7269388454594747
24,2010,0.6665313843335966
25,2010,0.5682460617626335
26,2010,1.0
27,2010,0.7593006190697988
28,2010,0.6150227777878581
29,2010,0.7379376746423651
30,2010,0.7405626860282881
31,2010,0.7089378457322009
1,2011,0.9609635369942376
2,2011,1.0
3,2011,0.9724549581232125
4,2011,0.8098923456858298
5,2011,0.8738005917214797
6,2011,0.6541637883479903
7,2011,0.6324751047951673
8,2011,0.6008795268362309
9,2011,1.0
10,2011,0.9200125444379383
11,2011,0.7199213749070479
12,2011,0.8618934208159383
13,2011,0.8256517312980712
14,2011,0.6339049920162716
15,2011,0.9127379992984559
16,2011,0.8518715015653421
17,2011,0.7874031730686363
18,2011,0.821391373165191
19,2011,1.0
20,2011,0.7175631303185028
21,2011,0.8683205502201409
22,2011,0.7026006026929524
23,2011,0.8043152973102577
24,2011,0.7036781992319779
25,2011,0.6133562433731737
26,2011,0.9999999999999993
27,2011,0.8214591051897517
28,2011,0.6818729835503864
29,2011,0.7925452168765731
30,2011,0.8195454076813848
31,2011,0.8113073394207779
1,2012,0.9475558575630306
2,2012,0.9999999999999998
3,2012,0.966848449778081
4,2012,0.7545522328427647
5,2012,0.8347434015810935
6,2012,0.674386968445688
7,2012,0.6373055095499586
8,2012,0.6078535082118937
9,2012,1.0000000000000002
10,2012,0.9562374431938656
11,2012,0.7170161401986153
12,2012,0.8868910311088537
13,2012,0.8354512795566374
14,2012,0.6395407627108874
15,2012,0.9354032642264866
16,2012,0.8722579000522771
17,2012,0.7965150723603198
18,2012,0.8689880057588343
19,2012,1.0
20,2012,0.7108203115417542
21,2012,0.8744613240286673
22,2012,0.6872128753297576
23,2012,0.8336468746337122
24,2012,0.6925542049576087
25,2012,0.638895597154522
26,2012,1.0
27,2012,0.872767784243054
28,2012,0.6870994923189586
29,2012,0.8019259127545704
30,2012,0.8175468819096695
31,2012,0.8051868018268786
1,2013,0.9244616352952417
2,2013,1.0000000000000002
3,2013,0.9999999999999998
4,2013,0.731506356055468
5,2013,0.7353243587279161
6,2013,0.677789994531146
7,2013,0.6082403618155506
8,2013,0.6537943370800843
9,2013,1.0000000000000002
10,2013,0.9489929161210893
11,2013,0.8162427836544481
12,2013,0.8996617878535881
13,2013,0.9811950974329868
14,2013,0.7034720045891297
15,2013,1.0
16,2013,0.9629370893999413
17,2013,0.8095724376978508
18,2013,0.9434006602210859
19,2013,1.0
20,2013,0.7385809495952862
21,2013,0.806693498233139
22,2013,0.6964248456395898
23,2013,0.8450580407800984
24,2013,0.7054973220940389
25,2013,0.6925732494619875
26,2013,1.0000000000000002
27,2013,0.8688706784997383
28,2013,0.6499353188186875
29,2013,0.8807980305956654
30,2013,0.8571449279988388
31,2013,0.8420248525941705
1,2014,0.9016364998794069
2,2014,1.0000000000000002
3,2014,0.9999999999999998
4,2014,0.7036189944194572
5,2014,0.7329463935356483
6,2014,0.6908251899000364
7,2014,0.6059976473968461
8,2014,0.7074757171250201
9,2014,1.0
10,2014,0.9999999999999993
11,2014,0.8241839961875324
12,2014,0.9182095441869151
13,2014,1.0
14,2014,0.7023577953487838
15,2014,1.0000000000000002
16,2014,0.9747189924599816
17,2014,0.7980256119315662
18,2014,0.9447701576136841
19,2014,1.0000000000000002
20,2014,0.7524836390826753
21,2014,0.8524868154649159
22,2014,0.6981828657147698
23,2014,0.9305317616344533
24,2014,0.7050117498409924
25,2014,0.7122835170626838
26,2014,1.0000000000000004
27,2014,0.8917936020444799
28,2014,0.6197561931152591
29,2014,0.8947748592779007
30,2014,0.7862796705995077
31,2014,0.8497184386058562
1,2015,0.9294399210883673
2,2015,1.0000000000000002
3,2015,1.0
4,2015,0.6834359496116358
5,2015,0.8018834082097218
6,2015,0.7473229615581626
7,2015,0.5882700486513541
8,2015,0.8227379587224043
9,2015,1.0000000000000002
10,2015,1.0000000000000002
11,2015,0.792983486856741
12,2015,0.9197575783657834
13,2015,0.9861994829101985
14,2015,0.7101779068990711
15,2015,1.0000000000000002
16,2015,0.9821435978014154
17,2015,0.8093928977814997
18,2015,0.98704805076471
19,2015,1.0
20,2015,0.7708014771543884
21,2015,0.8641921931997645
22,2015,0.696026758390599
23,2015,0.8368800901490057
24,2015,0.7429595861864736
25,2015,0.7863539988528627
26,2015,1.0
27,2015,0.9492790087363006
28,2015,0.5938232686481418
29,2015,0.9999999999999998
30,2015,0.7690772070408585
31,2015,0.8094909933972484
1,2016,0.9063135100489609
2,2016,0.9999999999999998
3,2016,0.8079214259666951
4,2016,0.5803376797474755
5,2016,0.7163240978932623
6,2016,0.6424553481196206
7,2016,0.5175058418930235
8,2016,0.7147622444174614
9,2016,1.0
10,2016,1.0
11,2016,0.8069999265633141
12,2016,0.7737696539063792
13,2016,0.846839701714849
14,2016,0.649317912996622
15,2016,0.9370731614386762
16,2016,0.879382865481544
17,2016,0.784959597085205
18,2016,1.0000000000000002
19,2016,1.0
20,2016,0.6874271223407639
21,2016,0.8833239579030348
22,2016,0.6364890071030336
23,2016,0.7969518829015136
24,2016,0.6923772928912034
25,2016,0.7129259818380446
26,2016,1.0000000000000002
27,2016,0.7960147929544252
28,2016,0.5395388836096693
29,2016,0.9999999999999998
30,2016,0.7395649381450643
31,2016,0.7181564925628408
1,2017,0.9109350651538528
2,2017,0.9999999999999996
3,2017,0.8079533567058654
4,2017,0.6837992357564362
5,2017,0.7052685599460019
6,2017,0.6706753381436259
7,2017,0.49006163063174135
8,2017,0.6995502216568268
9,2017,0.9999999999999998
10,2017,1.0
11,2017,0.8286911109763371
12,2017,0.776363464286095
13,2017,0.8657733336238967
14,2017,0.6666361475807834
15,2017,0.8870809009008553
16,2017,0.8607619441455447
17,2017,0.8013991007229455
18,2017,1.0
19,2017,1.0000000000000002
20,2017,0.683130189298705
21,2017,0.8965710118248945
22,2017,0.6398456355976572
23,2017,0.9668748300378511
24,2017,0.7001231535120896
25,2017,0.7336929175892762
26,2017,1.0000000000000002
27,2017,0.8238852127034368
28,2017,0.49887263646075486
29,2017,0.9999999999999991
30,2017,0.7653809818663664
31,2017,0.5936567209482284
