province_id,year,gdp_bn,labor,capital
1,2008,12167.601,1011.8199,17233.08
2,2008,5278.2983,329.92001,15313.41
3,2008,14403.795,1058.9099,40054.77
4,2008,7295.7993,634.45001,15952.049
5,2008,6352.4004,452.98999,24735.219
6,2008,12302.995,1114.72,45261.25
7,2008,4905.4004,477.96002,22763.369
8,2008,7215.0977,787.77002,16515.881
9,2008,14877.094,927.51001,21788.627
10,2008,31445.715,2339.45,69120.383
11,2008,21607.895,1895.3,42116.742
12,2008,9691.2041,787.96997,30479.457
13,2008,11104.203,819.10999,23525.746
14,2008,7028.6997,689.51001,21437.527
15,2008,27460.201,1812.01,69731.961
16,2008,17541.908,1225,47391.566
17,2008,11707.805,953.95996,25510.422
18,2008,11466.603,893.69,25000.08
19,2008,37351.488,2468.21,49099.32
20,2008,6561.897,633.88,16969.619
21,2008,1502.0002,145.92999,3186.7417
22,2008,5978.7988,513.63,17977.836
23,2008,12941.403,1218.26,32199.951
24,2008,3551.3,356.10001,8422.6709
25,2008,6120.5977,660.07001,15521.847
26,2008,405.2001,49.790001,1400.0215
27,2008,7256.7983,660.70996,20845.688
28,2008,3112.5015,328.75,7737.5005
29,2008,909.19989,101.65,2634.7922
30,2008,1153.6995,114.61,3744.3379
31,2008,4183.8994,409.04999,10209.437
1,2009,13335.701,1097.7,20195.625
2,2009,5828.5991,329.01001,18581.523
3,2009,15540.301,1258.05,48479.313
4,2009,7231.1982,636.09998,19363.813
5,2009,7226.998,480.06,29697.428
6,2009,13003.203,1213.22,53208.66
7,2009,5515.2983,511.33997,26989.686
8,2009,7315.8022,800.85999,19959.186
9,2009,16181.404,974.46997,24740.668
10,2009,35074.617,2497.8201,81434.695
11,2009,23227.496,2041.88,48815.855
12,2009,11063.305,820.32996,36544.16
13,2009,12625.098,917.69,27498.475
14,2009,7732.9985,735.32001,26022.664
15,2009,29957.201,1962.04,82072.219
16,2009,19077.102,1350.5701,56546.477
17,2009,13422.599,1064.58,30928.311
18,2009,12965.898,950.76001,30303.453
19,2009,40215.711,2608.3301,57738.938
20,2009,7243.3999,685.39001,20577.775
21,2009,1652.2,159.77,3869.1345
22,2009,6744.0977,562.19,21466.244
23,2009,14396.206,1292.6899,40480.625
24,2009,3910.7014,375.47,10026.114
25,2009,6690.1997,712.23999,18558.119
26,2009,452.99994,54.720001,1643.8994
27,2009,8094.9038,670.91998,25091.402
28,2009,3313.8005,350.5,9357.7002
29,2009,953.30035,107.69,3180.0823
30,2009,1284.7996,127.33,4460.7915
31,2009,4289.498,416.29999,11954.78
1,2010,15420.206,1172.58,23659.795
2,2010,6991.6021,346.31,23075.787
3,2010,18254.1,1062.09,58908.648
4,2010,9004.502,684.76001,23568.057
5,2010,8342.0977,508.01001,35772.934
6,2010,14105.795,1235.38,64143.66
7,2010,6505.9019,576.82001,32269.055
8,2010,8434.6963,853.94,24855.664
9,2010,18319.604,1009.11,27474.463
10,2010,42175.215,2768.1599,96801.242
11,2010,27902.205,2222.6699,56505.574
12,2010,13474.604,943.68994,44578.859
13,2010,15236.604,991.90002,33057.742
14,2010,9503.4004,832.54004,32296.758
15,2010,34429.395,2141.21,97473.805
16,2010,22568.197,1452.0801,67703.875
17,2010,16489.104,1142.45,38221.895
18,2010,15814.903,1068.04,37057.902
19,2010,46821.324,2659.25,67819.703
20,2010,8712.0029,729.25,25659.869
21,2010,2073.7004,172.74001,4814.7378
22,2010,8186.502,594.23999,26094.395
23,2010,17466.691,1335.61,49711.203
24,2010,4583.7007,392.84,12168.527
25,2010,7869.9028,764.39001,22305.25
26,2010,521.40027,58.970001,1948.7551
27,2010,9973.0029,703.03003,30646.297
28,2010,3987.7004,371.79001,11617.701
29,2010,1160.8003,112.98,3891.6643
30,2010,1595.2998,140.31999,5476.7153
31,2010,5425.4004,429.60999,14230.361
1,2011,17653.299,1244.71,26967.385
2,2011,8240.8027,413.55002,27928.182
3,2011,21711.709,1181.5701,69642.75
4,2011,11005.099,727.59998,28378.584
5,2011,9610.8027,563.92999,42703.902
6,2011,16585.299,1346.6,75712.156
7,2011,7857.6982,641.62,36612.934
8,2011,10073.999,908.82001,29944.9
9,2011,20406.098,1158.03,29798.984
10,2011,49689.504,2936.45,114200.95
11,2011,32353.096,2475.21,65266.32
12,2011,16532.707,1010.1,52754.98
13,2011,18195.197,1179.59,39795.09
14,2011,11717.397,975.93994,38283.867
15,2011,39622.008,2331.1201,114866
16,2011,26212.193,1641.9399,78973.25
17,2011,20228.303,1365.1599,47109.934
18,2011,19176.406,1237.16,45381.262
19,2011,54009.594,2909.0498,78378.211
20,2011,10472.698,775.45996,31187.182
21,2011,2525.1001,189.01999,6009.7529
22,2011,10314.099,781,31062.713
23,2011,21313.096,1409.03,59161.148
24,2011,5690.4976,456.85999,15236.269
25,2011,9666.2041,864.21997,26354.945
26,2011,620.80005,69.309998,2277.9846
27,2011,12320.096,781.96997,37135.332
28,2011,4880.7002,405.15002,14468.192
29,2011,1388.2997,125.07,4953.6445
30,2011,1959.3009,156.04001,6595.6904
31,2011,6607.6016,450.92999,17496.387
1,2012,19568.297,1309.73,30490.887
2,2012,9193.0039,437.16,33181.855
3,2012,23437.299,1261.17,82618.328
4,2012,11819.701,822.20001,34517.5
5,2012,10638.896,631.66998,50480.066
6,2012,18127.602,1405.6899,90280.07
7,2012,8831.3047,692.57001,42609.633
8,2012,11170.995,975.20001,36764.941
9,2012,21774.895,1267.65,32055.902
10,2012,54658.391,3063.7798,134091.89
11,2012,34978.504,2616.3198,76650.109
12,2012,18613.697,1083.02,63116.332
13,2012,20510.803,1290.62,48414.703
14,2012,12952.797,1045.6599,45382.777
15,2012,43584.289,2485.21,135094.84
16,2012,28878.51,1746.71,92841.82
17,2012,22921.004,1509.54,58165.672
18,2012,21513.695,1289.4399,55547.902
19,2012,58057.605,3112.9399,89605.375
20,2012,11496.604,835.60999,38001.824
21,2012,2863.6003,206.87,7578.1963
22,2012,11797.796,901.69,36816.863
23,2012,24224.893,1525,70521.656
24,2012,6828.1021,545.90002,19491.387
25,2012,11266.297,955.71002,31656
26,2012,721.1001,76.529999,2729.8181
27,2012,14311.505,831.69,45614.891
28,2012,5469.0981,437.25,18224.275
29,2012,1547.8993,131.57001,6361.5146
30,2012,2162,166.32001,8059.3643
31,2012,7499.5029,500.47998,21975.514
1,2013,21745.998,1382.5801,34410.82
2,2013,10075.197,454.69,39126.648
3,2013,24659.094,1249.23,97881.195
4,2013,12171.799,889.23999,42235.711
5,2013,11584.902,771.22998,59851.359
6,2013,19534.297,1527.51,106720.84
7,2013,9608.6016,811.54004,48498.367
8,2013,12017.005,999.13,44688.586
9,2013,23809.406,1400.1799,34626.324
10,2013,60505.227,4046.3301,157592.39
11,2013,38023.285,2832.24,90073.805
12,2013,20888.207,1224.76,75679.063
13,2013,22851.705,1284.3,59094.332
14,2013,14473.403,1117.5,53876.281
15,2013,48058.102,2792.9299,158914.81
16,2013,31621.389,1805.9,110016.47
17,2013,25851.709,1852.5699,71889.094
18,2013,23916.313,1398,68056.703
19,2013,63757.301,4007.6201,103311.65
20,2013,12680.605,911.84998,46261.32
21,2013,3201.9011,251.27,9548.6191
22,2013,13275.799,1048.5701,43717.684
23,2013,26858.402,1801.23,84077.688
24,2013,8079.9019,643.51001,24993.814
25,2013,13026.995,1048.33,38585.324
26,2013,840.30005,85.540001,3343.7556
27,2013,16106.304,972.06,56120.012
28,2013,6108.3013,520.38,23002.686
29,2013,1736.0991,130.73999,8111.8994
30,2013,2364.8999,168.01999,9936.8057
31,2013,8518.4014,536.64001,27598.164
1,2014,23577.496,1584.5,38031.582
2,2014,10749.204,459.20001,45888.691
3,2014,25644.105,1329.1001,115156.5
4,2014,12306.994,924.09998,50535.582
5,2014,12377.295,824.20001,71697.43
6,2014,20381.502,1592.4,121206.45
7,2014,10077.001,846.80005,55182.125
8,2014,12357.099,923.40002,50227.48
9,2014,25964.486,1573.3,37318.598
10,2014,66228.289,4217.7998,184402.13
11,2014,40744.086,3073.5,105689.52
12,2014,22880.699,1338.1001,90289.469
13,2014,25329.398,1411.3,71599.18
14,2014,15858.597,1241.8,63783.457
15,2014,51552.707,3023.7002,186154.48
16,2014,34611.215,2003.1001,130237.09
17,2014,28805.914,2151,87903.039
18,2014,26309.096,1565.7,82766.156
19,2014,69593.398,4500.1001,119687.63
20,2014,13856.698,972.5,55663.434
21,2014,3541.2002,256.79999,11744.151
22,2014,14911.693,1195.5,51806.188
23,2014,29357.49,1792.4,99324.828
24,2014,9297.502,733.30005,31620.209
25,2014,14275.1,1120.1,46379.633
26,2014,954.80011,92.599998,4091.9551
27,2014,17635.602,1034,67924.391
28,2014,6629.4028,583.09998,28678.527
29,2014,1875.0995,135.3,10194.357
30,2014,2516.4011,187.89999,12156.673
31,2014,9400.1973,566,34396.441
1,2015,26034.088,1729.03,41876.539
2,2015,10889.203,478.91998,53315.367
3,2015,26744.096,1448.83,133549.75
4,2015,12036.104,937.59998,59758.316
5,2015,13062.698,810.31,78516.695
6,2015,20657.795,1508.76,127488.52
7,2015,10162.898,905.45996,62589.93
8,2015,12023.195,736.87,55588.594
9,2015,27821.602,1720.8601,40088.711
10,2015,71876.023,4343.1699,212946.39
11,2015,44222.016,3501,122866.65
12,2015,24142.691,1433.14,106007.65
13,2015,27307.51,1576.52,86027.039
14,2015,17031.094,1345.3,75048.375
15,2015,56159.098,3279.1499,216596.09
16,2015,36798.191,2120.96,153394.67
17,2015,30661.59,2241.96,106028.25
18,2015,28811.705,1642.45,99865.688
19,2015,75820.805,4968.4502,138540.66
20,2015,15030.203,1051.8199,66547.523
21,2015,3782.6987,276.03,14067.933
22,2015,16305.896,1346.64,61186.035
23,2015,30829.09,2140.49,115315.55
24,2015,10887.102,822.23999,39530.207
25,2015,15358.603,1086.76,55427.809
26,2015,1063.6003,105.26,4994.8076
27,2015,18188.303,995.33997,79985.891
28,2015,6793.4014,632.15002,34679.621
29,2015,2054.2991,133.5,12426.329
30,2015,2644.7002,209.10001,14495.082
31,2015,9545.6992,611.47998,41907.414
1,2016,28438.695,1838.24,45800.281
2,2016,11486.997,495.64999,60976.48
3,2016,28879.693,1621.3199,152479
4,2016,12160.096,983.98999,68219.5
5,2016,13878.997,818.46002,86059.102
6,2016,20832.01,1387.8201,121941.87
7,2016,10603.496,937.25,70504.5
8,2016,12280.894,787.41998,60900.438
9,2016,30963.891,1822.01,42996.074
10,2016,78261.18,4611.4399,242166.75
11,2016,48095.793,3626.6099,141347.52
12,2016,26801.201,1573.28,122864.3
13,2016,30199.209,1818.0901,101005.79
14,2016,18761.197,1370.11,87537.945
15,2016,59702.609,3588.1799,249125.81
16,2016,40167.68,2319.8,179083.88
17,2016,33767.598,2284.5,125861.19
18,2016,31224.99,1303.38,118631.91
19,2016,83493.414,5595.3999,158544.39
20,2016,16417.203,1104.79,78395.742
21,2016,4151.002,279.04999,16607.861
22,2016,18271.104,1472.36,71360.273
23,2016,33879.215,2193.3901,133057.2
24,2016,12133.895,894.76001,48939.309
25,2016,16773.607,1167.6699,66226.141
26,2016,1197.4003,122.76,6111.356
27,2016,19354.592,1029.75,93132.492
28,2016,7207.1006,676.44,41014.367
29,2016,2310.7004,144.85001,14761.451
30,2016,2853.2986,223.42,16897.805
31,2016,9913.8994,655.16003,48171.832
1,2017,31325.916,1954.28,49773.895
2,2017,12468.204,506.91998,66411.656
3,2017,31065.494,1655.3999,171247.81
4,2017,14679.101,1020.73,67710.969
5,2017,15009.896,869.22998,91810.586
6,2017,22105.396,1434.11,116912.19
7,2017,11083.004,1033.96,77019.961
8,2017,12659.497,815.97998,66345.977
9,2017,34378.305,1976.6101,46115.051
10,2017,86512.914,4878.6699,272195.78
11,2017,53135.207,3750.3101,159474.19
12,2017,30141.795,1748.8899,140344.39
13,2017,34432.184,1970.98,117725.52
14,2017,20497.598,1394.3301,101219.64
15,2017,63958.582,3912.1001,280412.47
16,2017,44586.48,2550.6401,206388.75
17,2017,37624.211,2388.22,146060.88
18,2017,34127.711,1365.5601,139202.48
19,2017,93004.766,6142.6899,181085.88
20,2017,18071.691,1185.36,91368.859
21,2017,4552.9014,292.45999,19257.906
22,2017,20260.795,1575.02,82046.734
23,2017,38517.117,1758,152185.8
24,2017,14067.297,984.60999,59744.996
25,2017,18864.592,1218.67,78804.422
26,2017,1380.9998,133.46001,7500.2656
27,2017,21776.094,1077.48,108011.16
28,2017,7642.5991,789.97003,42904.738
29,2017,2517,161.73,17227.902
30,2017,3271.5986,243.17999,19003.996
31,2017,11460.803,961.02002,55636.457
